epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,6732.93,0.9623,1.58478,1.45253,0.65233,0.60118,0.65313,0.55737,0.60183,1.07611,1.13854,0.00102113,0.000340375,0.00102113,0.000340375,0.00102113,0.000340375,0.00102113,0.000340375
48,6882.83,0.95487,1.57627,1.4494,0.6955,0.60081,0.66347,0.56447,0.60314,1.06411,1.14584,0.00100256,0.000334188,0.00100256,0.000334188,0.00100256,0.000334188,0.00100256,0.000334188
49,7035.33,0.96211,1.57106,1.45303,0.70855,0.5853,0.6574,0.56304,0.60331,1.05971,1.1478,0.000984,0.000328,0.000984,0.000328,0.000984,0.000328,0.000984,0.000328
50,7189.77,0.93719,1.5336,1.43892,0.71374,0.58746,0.66238,0.56223,0.59998,1.06841,1.14122,0.000965438,0.000321812,0.000965438,0.000321812,0.000965438,0.000321812,0.000965438,0.000321812
51,7343.82,0.93463,1.54077,1.43132,0.71416,0.61521,0.66981,0.57154,0.5924,1.02761,1.13232,0.000946875,0.000315625,0.000946875,0.000315625,0.000946875,0.000315625,0.000946875,0.000315625
52,7515.43,0.93975,1.52165,1.42968,0.69464,0.599,0.66165,0.56701,0.60179,1.06255,1.13363,0.000928312,0.000309437,0.000928312,0.000309437,0.000928312,0.000309437,0.000928312,0.000309437
53,7667.44,0.93673,1.5224,1.43069,0.63164,0.60738,0.67171,0.57495,0.59029,1.02492,1.12924,0.00090975,0.00030325,0.00090975,0.00030325,0.00090975,0.00030325,0.00090975,0.00030325
54,7817.04,0.92614,1.50647,1.42074,0.62837,0.64408,0.68538,0.58707,0.59147,0.99748,1.12372,0.000891187,0.000297063,0.000891187,0.000297063,0.000891187,0.000297063,0.000891187,0.000297063
55,7966.01,0.93309,1.49781,1.4239,0.7662,0.5898,0.68417,0.58781,0.58368,1.00345,1.1225,0.000872625,0.000290875,0.000872625,0.000290875,0.000872625,0.000290875,0.000872625,0.000290875
56,8113.68,0.92088,1.48538,1.41341,0.64169,0.62198,0.68232,0.58588,0.5808,0.98561,1.12022,0.000854062,0.000284688,0.000854062,0.000284688,0.000854062,0.000284688,0.000854062,0.000284688
57,8239.05,0.92638,1.47402,1.41642,0.74377,0.62449,0.68901,0.59106,0.58544,0.98834,1.12129,0.0008355,0.0002785,0.0008355,0.0002785,0.0008355,0.0002785,0.0008355,0.0002785
58,8363.5,0.92325,1.46776,1.42048,0.82602,0.58048,0.69569,0.59738,0.58439,0.98447,1.11965,0.000816938,0.000272313,0.000816938,0.000272313,0.000816938,0.000272313,0.000816938,0.000272313
59,8485.54,0.92829,1.46678,1.41996,0.66731,0.65373,0.70247,0.60566,0.57763,0.96304,1.11575,0.000798375,0.000266125,0.000798375,0.000266125,0.000798375,0.000266125,0.000798375,0.000266125
60,8607.45,0.92753,1.46582,1.41609,0.79698,0.60429,0.70684,0.60803,0.57937,0.94766,1.11533,0.000779813,0.000259938,0.000779813,0.000259938,0.000779813,0.000259938,0.000779813,0.000259938
61,8729.7,0.91459,1.44994,1.40722,0.81033,0.58899,0.70079,0.60312,0.57824,0.96088,1.11416,0.00076125,0.00025375,0.00076125,0.00025375,0.00076125,0.00025375,0.00076125,0.00025375
62,8852.98,0.90786,1.45456,1.39818,0.67218,0.64949,0.71151,0.61474,0.57067,0.94682,1.10797,0.000742687,0.000247563,0.000742687,0.000247563,0.000742687,0.000247563,0.000742687,0.000247563
63,8979.84,0.90867,1.43103,1.39909,0.72133,0.65065,0.71346,0.61847,0.56952,0.93692,1.10948,0.000724125,0.000241375,0.000724125,0.000241375,0.000724125,0.000241375,0.000724125,0.000241375
64,9123.58,0.90437,1.44409,1.39619,0.7154,0.64382,0.71694,0.6195,0.57522,0.9328,1.10989,0.000705563,0.000235188,0.000705563,0.000235188,0.000705563,0.000235188,0.000705563,0.000235188
65,9277.77,0.89922,1.41927,1.39387,0.75078,0.63635,0.70843,0.6123,0.56654,0.93994,1.10209,0.000687,0.000229,0.000687,0.000229,0.000687,0.000229,0.000687,0.000229
66,9432.13,0.90213,1.41059,1.39688,0.76038,0.65205,0.71516,0.61919,0.56969,0.92956,1.10423,0.000668437,0.000222813,0.000668437,0.000222813,0.000668437,0.000222813,0.000668437,0.000222813
